land,population,christians,muslims,unaf,hindu,buddhist,folk,other,jewish
France,62790000,63.0,7.5,28.0, 0.1,0.5,0.3,0.2,0.5
French Guiana,230000,84.4,0.9,3.4,1.6, 0.1,9.1,0.5, 0.1
French Polynesia,270000,94.0, 0.1,4.9, 0.1, 0.1,0.5,0.4, 0.1
Gabon,1510000,76.5,11.2,5.6, 0.1, 0.1,6.0,0.7, 0.1
Gambia,1730000,4.5,95.1, 0.1, 0.1, 0.1,0.1, 0.1, 0.1
Georgia,4350000,88.5,10.7,0.7, 0.1, 0.1, 0.1, 0.1, 0.1
Germany,82300000,68.7,5.8,24.7, 0.1,0.3, 0.1,0.1,0.3
Ghana,24390000,74.9,15.8,4.2, 0.1, 0.1,4.9,0.2, 0.1
Gibraltar,30000,88.8,4.0,2.9,1.8, 0.1, 0.1,0.3,2.1
Greece,11360000,88.1,5.3,6.1,0.1, 0.1,0.1, 0.1, 0.1
Greenland,60000,96.1, 0.1,2.5, 0.1, 0.1,0.8,0.6, 0.1
Grenada,100000,96.6,0.3,1.0,0.7, 0.1,1.3,0.2, 0.1
Guadeloupe,460000,95.9,0.4,2.5,0.5, 0.1,0.4,0.4, 0.1
Guam,180000,94.2, 0.1,1.7, 0.1,1.1,1.5,1.6, 0.1
Guatemala,14390000,95.2, 0.1,4.1, 0.1, 0.1,0.6, 0.1, 0.1
Guinea,9980000,10.9,84.4,1.8, 0.1, 0.1,2.7, 0.1, 0.1
Guinea Bissau,1520000,19.7,45.1,4.3, 0.1, 0.1,30.9, 0.1, 0.1
Guyana,750000,66.0,6.4,2.0,24.9, 0.1,0.2,0.6, 0.1
Haiti,9990000,86.9, 0.1,10.6, 0.1, 0.1,2.2,0.3, 0.1
Honduras,7600000,87.6,0.1,10.5, 0.1,0.1,1.1,0.6, 0.1
Hong Kong,7050000,14.3,1.8,56.1,0.4,13.2,12.8,1.5, 0.1
Hungary,9980000,81.0, 0.1,18.6, 0.1, 0.1, 0.1, 0.1,0.1
Iceland,320000,95.0,0.2,3.5,0.3,0.4,0.5,0.2, 0.1
India,122461000,2.5,14.4, 0.1,79.5,0.8,0.5,2.3, 0.1
Indonesia,239870000,9.9,87.2, 0.1,1.7,0.7,0.3,0.1, 0.1
Iran,73970000,0.2,99.5,0.1, 0.1, 0.1, 0.1,0.2, 0.1
Iraq,31670000,0.8,99.0,0.1, 0.1, 0.1, 0.1, 0.1, 0.1
Ireland,4470000,92.0,1.1,6.2,0.2,0.2,0.2, 0.1, 0.1
Isle of Man,80000,84.1,0.2,15.4,0.2, 0.1, 0.1, 0.1, 0.1
Israel,7420000,2.0,18.6,3.1, 0.1,0.3,0.2,0.1,75.6
Italy,60550000,83.3,3.7,12.4,0.1,0.2,0.1, 0.1, 0.1
Ivory Coast,19740000,44.1,37.5,8.0, 0.1, 0.1,10.2,0.2, 0.1
Jamaica,2740000,77.2, 0.1,17.2, 0.1, 0.1,4.5,1.0, 0.1
Japan,126540000,1.6,0.2,57.0, 0.1,36.2,0.4,4.7, 0.1
Jordan,6190000,2.2,97.2, 0.1,0.1,0.4, 0.1, 0.1, 0.1
Kazakhstan,16030000,24.8,70.4,4.2, 0.1,0.2,0.3,0.1, 0.1
Kenya,40510000,84.8,9.7,2.5,0.1, 0.1,1.7,1.2, 0.1
Kiribati,100000,97.0, 0.1,0.8, 0.1, 0.1, 0.1,2.2, 0.1
Kosovo,2080000,11.4,87.0,1.6, 0.1, 0.1, 0.1, 0.1, 0.1
Kuwait,2740000,14.3,74.1, 0.1,8.5,2.8, 0.1,0.3, 0.1
Kyrgyzstan,5330000,11.4,88.0,0.4, 0.1, 0.1,0.1, 0.1, 0.1
Laos,6200000,1.5, 0.1,0.9, 0.1,66.0,30.7,0.7, 0.1
Latvia,2250000,55.8,0.1,43.8, 0.1, 0.1, 0.1,0.2, 0.1
Lebanon,4230000,38.3,61.3,0.3, 0.1,0.2, 0.1, 0.1, 0.1
Lesotho,2170000,96.8, 0.1,3.1, 0.1, 0.1,0.1, 0.1, 0.1
Liberia,3990000,85.9,12.0,1.4, 0.1, 0.1,0.5,0.1, 0.1
Libya,6360000,2.7,96.6,0.2, 0.1,0.3, 0.1, 0.1, 0.1
Liechtenstein,40000,91.9,5.0,2.9, 0.1, 0.1, 0.1, 0.1,0.1
Lithuania,3320000,89.8, 0.1,10.0, 0.1, 0.1, 0.1, 0.1, 0.1
Luxembourg,510000,70.4,2.3,26.8, 0.1, 0.1, 0.1,0.3,0.1
Macau,540000,7.2,0.2,15.4, 0.1,17.3,58.9,1.0, 0.1
